timeframe,pattern,direction,family,count,mean_return_30m,median_return_30m,win_rate_30m,mean_return_60m,median_return_60m,win_rate_60m,mean_return_180m,median_return_180m,win_rate_180m,best_use,edge_score
1h,gravestone_doji,short,reversal,1,0.00949838913159076,0.00949838913159076,1.0,0.00949838913159076,0.00949838913159076,1.0,0.015165100979032602,0.015165100979032602,1.0,entry_hold,156.65100979032601
30m,inverted_hammer,long,reversal,6,0.0022409411017014613,0.002163129589555909,0.8333333333333334,0.00458269441344772,0.0038353433782159028,0.6666666666666666,0.01066460512371148,0.0018622853417454125,0.5,entry_hold,109.97938457044812
30m,three_black_crows,short,continuation,1,0.009387275906652356,0.009387275906652356,1.0,0.00963496128677511,0.00963496128677511,1.0,0.0034973175673332435,0.0034973175673332435,1.0,entry_scalp_or_exit,100.34961286775109
5m,morning_star,long,reversal,37,0.0012896518757374111,0.0008520110909189497,0.5675675675675675,0.003755054371131693,0.00161067870335549,0.6216216216216216,0.0072060202511474965,0.004361376728388712,0.6756756756756757,entry_hold,75.16831061958308
15m,shooting_star,short,reversal,42,0.0008453211694777503,0.0008916692109448014,0.5476190476190477,0.0017514631477444152,0.0004976174225379512,0.6190476190476191,0.004907679319841175,0.0038944652774269544,0.6428571428571429,entry_hold,52.172031293649844
30m,gravestone_doji,short,reversal,9,0.00048266435137549093,-1.4753324415754935e-05,0.4444444444444444,0.001206479483803342,0.0017306042904776577,0.5555555555555556,0.0046782826399369365,-0.0004120163009829073,0.5,entry_hold,49.56060417714714
30m,bullish_engulfing,long,reversal,51,0.0011579311128689456,0.00010773447330770689,0.5686274509803921,0.0019692842534062413,0.0008661851653940575,0.5686274509803921,0.0024638408847302224,0.0004888968942180573,0.5686274509803921,entry_hold,27.481546102204184
1h,bearish_harami,short,reversal,16,0.00027771845658887124,0.0005839261367106407,0.5625,0.00027771845658887124,0.0005839261367106407,0.5625,0.0020080288558166812,0.002851536680166376,0.6875,entry_hold,22.892788558166814
1h,dark_cloud_cover,short,reversal,6,0.0018710683693201281,0.0009598124676085873,0.5,0.0018710683693201281,0.0009598124676085873,0.5,0.00790019235299279,0.004144627388235832,1.0,weak_or_context_only,20.210683693201283
15m,gravestone_doji,short,reversal,15,-0.0003488573749835775,0.0008224265113979783,0.6,-0.0005043563737234507,0.003321031526990315,0.6,0.00159128637254721,0.0036072221499813535,0.6666666666666666,entry_hold,18.9128637254721
1h,inverted_hammer,long,reversal,5,0.00021165271872224676,0.0028957479573721765,0.8,0.00021165271872224676,0.0028957479573721765,0.8,0.0013461791690734398,0.005102828046818167,0.6,entry_hold,17.461791690734398
1h,dragonfly_doji,long,reversal,7,0.0014483229691198136,0.0008661851653940575,0.5714285714285714,0.0014483229691198136,0.0008661851653940575,0.5714285714285714,8.773052188493041e-05,0.00044901400190602695,0.7142857142857143,entry_scalp_or_exit,16.76894397691242
15m,bearish_harami,short,reversal,68,0.0004336705650029963,0.0008409313035658557,0.6176470588235294,0.0009306210341443874,0.001215312866374396,0.5882352941176471,0.0012405338869763793,0.000942877743547283,0.5522388059701493,entry_hold,15.34651534035203
1h,shooting_star,short,reversal,11,0.0008314703216481971,9.704968944110612e-05,0.5454545454545454,0.0008314703216481971,9.704968944110612e-05,0.5454545454545454,0.0012590367918220253,0.006993335946687631,0.6363636363636364,entry_hold,15.317640645492979
5m,inverted_hammer,long,reversal,86,2.6601585620821423e-05,0.0006725916065945501,0.627906976744186,0.0003465881071964549,0.00094650575431125,0.5697674418604651,0.0012235699774353723,0.0024330477712474234,0.6046511627906976,entry_hold,15.084536983656049
30m,bearish_engulfing,short,reversal,42,0.0006884528381230651,0.0008223389508793947,0.5714285714285714,0.0012512141204527693,9.089298865476684e-05,0.5,0.002124580374754392,0.0005889302939251448,0.5714285714285714,weak_or_context_only,14.012141204527694
5m,hanging_man,short,reversal,108,0.0006086752647258871,0.0005918241969095749,0.5925925925925926,0.0009776207843949442,0.0004730267224274334,0.5277777777777778,-0.00012184265507905243,0.0003473739059038205,0.514018691588785,entry_scalp_or_exit,11.887318955060552
5m,piercing_line,long,reversal,95,0.00018708639136780933,0.000701016473887202,0.5684210526315789,0.000491839448236086,0.00018293519520704704,0.5263157894736842,0.0009125607809935791,0.0009595533715216278,0.5894736842105263,entry_hold,11.757186757304213
1h,bullish_engulfing,long,reversal,22,0.0009042709731370742,0.001278573921351478,0.6363636363636364,0.0009042709731370742,0.001278573921351478,0.6363636363636364,0.0001643080265475308,0.0016781916110169624,0.5909090909090909,entry_scalp_or_exit,11.588164276825287
30m,dragonfly_doji,long,reversal,8,0.001029229093312687,0.0014363458184126867,0.75,0.0006878814312232611,0.0014127366564913094,0.625,-0.0015501605661000862,-0.0022713366802182065,0.375,entry_scalp_or_exit,9.37881431223261
15m,inverted_hammer,long,reversal,28,-0.00028784877526730906,-0.001112660220516034,0.35714285714285715,0.0007229180495750808,-0.0005018846365698441,0.42857142857142855,0.0026255306005806994,0.003046765067634374,0.5357142857142857,weak_or_context_only,8.514894781465093
1h,tweezer_bottom,long,reversal,21,0.0005361614034643921,0.00016217147606447144,0.5238095238095238,0.0005361614034643921,0.00016217147606447144,0.5238095238095238,-0.0007342147433942325,-0.0007081062775160257,0.47619047619047616,entry_scalp_or_exit,7.456852129882016
5m,gravestone_doji,short,reversal,64,-9.199469083232077e-05,-2.3365089239744193e-05,0.5,0.0005176714427158752,-0.0002845449415022593,0.47619047619047616,-0.0028874607668823234,-0.0018666044465182672,0.36507936507936506,weak_or_context_only,6.60528585573018
30m,hammer,long,reversal,18,0.0015587491162767089,0.001724500906842961,0.6111111111111112,0.0004770701279406619,-0.0002410407381065094,0.5,0.0015712550472780815,0.001606922362619073,0.6666666666666666,weak_or_context_only,6.270701279406619
30m,bearish_harami,short,reversal,44,-0.000500210261098256,-9.551942783456697e-05,0.4772727272727273,-0.0004465091923609729,0.00019606204149366998,0.5454545454545454,0.0003006014308334282,-0.0009270538014595855,0.4883720930232558,entry_hold,5.733287035607009
5m,bearish_marubozu,short,continuation,278,4.7749903093429736e-05,-0.00016580943571254016,0.4892086330935252,0.0003520401462564514,-0.0001310018849631611,0.4892086330935252,8.798818453696199e-06,-0.0006304778078578151,0.4601449275362319,entry_scalp_or_exit,5.477235994938615
5m,bullish_engulfing,long,reversal,301,0.0002941174151563142,0.00012475035807633724,0.5133333333333333,0.0003866202187031207,7.338179681558157e-05,0.5066666666666667,0.0007615464944099955,0.0003178082212371431,0.5133333333333333,weak_or_context_only,5.386202187031207
30m,tweezer_bottom,long,reversal,57,-6.437585922011753e-05,-0.0007553872380388607,0.47368421052631576,0.00027301812030283923,-0.0014766471878342319,0.43859649122807015,0.0003553718025977787,-0.001461168344304297,0.43859649122807015,weak_or_context_only,4.045970676712603
1h,bullish_marubozu,long,continuation,15,0.0002962043890086073,-0.00147334853775207,0.3333333333333333,0.0002962043890086073,-0.00147334853775207,0.3333333333333333,0.0015013344086371137,-0.0019472507133492538,0.4666666666666667,weak_or_context_only,3.962043890086073
5m,bullish_marubozu,long,continuation,241,0.00023059877245301316,-0.0002483741630044196,0.4605809128630705,0.00019145957888285715,-0.000200004756331499,0.48333333333333334,0.000678087442536558,0.00017726737840516817,0.5042016806722689,weak_or_context_only,3.3645957888285714
5m,bearish_engulfing,short,reversal,322,0.0001330722891991695,0.0002767542500298453,0.5186335403726708,0.0001286404149908222,9.548387667248051e-05,0.5093167701863354,-0.0005153830495337785,-0.00010780131286681359,0.4937888198757764,entry_scalp_or_exit,3.323671230653564
5m,hammer,long,reversal,119,-0.00017020049303476486,4.6246090883894205e-05,0.5084745762711864,0.00020900289566495715,0.00040975874460496826,0.5338983050847458,-3.377557672511853e-05,0.0012720287571197702,0.5982905982905983,entry_hold,2.3317357581725435
5m,tweezer_bottom,long,reversal,360,7.560298311813403e-05,0.00036171598061202347,0.5348189415041783,5.4787761414862146e-05,0.00016447368421050138,0.5125348189415042,0.00018327123456756962,0.0006381558308949078,0.5251396648044693,weak_or_context_only,2.085482070973134
15m,tweezer_top,short,reversal,116,-0.0004108792762659782,0.0005984368899798388,0.5258620689655172,-2.623761450078763e-06,4.549306788579966e-06,0.5,-0.0010583841646926392,-0.00038772726423397333,0.46956521739130436,weak_or_context_only,1.4737623854992123
5m,shooting_star,short,reversal,116,-0.0004965440530852324,-0.000143466104173604,0.47413793103448276,-5.128273099661358e-05,0.0004014737319881277,0.5172413793103449,8.72260328173209e-05,0.0003647552063441268,0.5217391304347826,weak_or_context_only,1.038896827964899
5m,bullish_harami,long,reversal,246,-0.0004129689751970263,0.0001545096174715703,0.5203252032520326,-0.00044301257866012465,0.0003175453904143953,0.5284552845528455,-0.00032580353489676495,0.0004945186511613617,0.5428571428571428,entry_hold,-0.615758926203422
15m,dragonfly_doji,long,reversal,12,-0.0018893549303470823,-0.0004006612766761853,0.4166666666666667,-0.00021726931795813112,0.00025480647024851423,0.5,0.007226732151538291,0.007999131672704989,0.75,weak_or_context_only,-0.6726931795813114
